name,module,default,green_min,green_max,hard_min,hard_max,unit,danger,note
tech_fixed_cost,M14,180000,60000,600000,0,2000000,PKR,,Baseline technology running cost per round
cs_cost_per_agent,M14,62000,30000,140000,15000,300000,PKR,,Fully loaded monthly cost per service agent
supplier_terms_days,M15,30,0,60,0,90,days,,Default supplier payment terms
incumbent_a_utility,M7,0.46,0.25,0.65,0.0,1.0,utility,,Price-leader incumbent baseline attractiveness
incumbent_b_utility,M7,0.50,0.25,0.70,0.0,1.0,utility,,Premium-service incumbent baseline attractiveness
channel_k_scale,M6,1.0859,0.5,3.0,0.2,6.0,multiplier,,Global scale on channel k_base; the calibration handle for total paid traffic
cohort_freq_scale,M12,1.0391,0.3,2.5,0.1,5.0,multiplier,,Global scale on cohort purchase frequency; the calibration handle for repeat share
cogs_scale,M9,0.9750,0.85,1.15,0.6,1.5,multiplier,,Global scale on SKU unit costs; calibration handle for gross margin and the FX event
potential_headroom,M1,1.45,1.05,2.2,1.0,4.0,multiplier,,Per-team potential demand at baseline as a multiple of baseline orders; above 1 means traffic binds before demand does
events_enabled,M2,1,0,1,0,1,flag,,0 disables all events including EV-23 demand noise; used by the T2 baseline gate and by calibration
